NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,LABEL,TEXT,AI
0.174418604651163,0.0813953488372093,0.0116279069767442,0.0581395348837209,0.0232558139534884,0,0,0.0697674418604651,0,neutre," Chères et chers collègues , Le cours de Langue de les signes française ( Polopopo ) de le Polopopo Linguistique clinique est ouvert à les collègues de Polopopo . Il s' agit d' un cours d' introduction permettant d' acquérir les bases de la Polopopo . Ce cours , donné par Polopopo Polopopo , aura lieu le jeudi 13h30-15 h 30 en Polopopo ( bâtiment Polopopo ) et commencera demain . Merci de m' en informer si vous souhaitez participer . Bonne journée à tous ,",0
0.125,0.0714285714285714,0.0535714285714286,0.0178571428571429,0.0357142857142857,0,0,0.0357142857142857,0.0178571428571429,neutre," Bonsoir , ce cours de Polopopo est également accessible à les étudiants de Polopopo , M1 ou M2 . A noter que le laboratoire de Polopopo a des projets financés concernant la Polopopo et que certaines taches impliquent de le Polopopo . Nous aurons donc des stages à proposer dès le M1 . Bien à vous",0
0.171428571428571,0.0857142857142857,0,0.0857142857142857,0,0.0285714285714286,0,0.114285714285714,0,neutre," Bonjour ! J’ aimerais prendre des heures de conduite pour cette semaine . Je suis libre tout les jours . Si c’ est possible j’ aimerais prendre 2 heures . En attendant votre réponse ,",0
0.117647058823529,0.0588235294117647,0,0.0588235294117647,0,0,0,0.0588235294117647,0,neutre," Bonjour , Je souhaiterais postuler pour un logement dans la résidence universitaire Polopopo Polopopo . Cordialement ,",0
0.166666666666667,0.0897435897435897,0,0.0256410256410256,0.0256410256410256,0,0.0128205128205128,0.0512820512820513,0.0128205128205128,neutre," Bonjour , Je rentre en M2 Traitement Automatique de les Langues et je suis en train de m' inscrire sur Polopopo pour mon alternance . L' entreprise qui souhaite m' embaucher a remarqué qu' ils avaient fait des erreurs dans la composition de le dossier et aimerait pouvoir modifier les informations qu' ils ont rentré . Est -ce que c' est possible pour vous de ré-ouvrir la candidature ? Je vous remercie d' avance pour votre aide ,",0
0.156862745098039,0.0784313725490196,0.0686274509803922,0.0294117647058824,0.0196078431372549,0.00980392156862745,0,0.0588235294117647,0,joie," Bonjour Polopopo , Je suis évidemment toujours motivée pour travailler avec vous ! Visiter les locaux et rencontrer l’ équipe m’ a beaucoup plu et je serai absolument ravie de travailler avec vous . J’ ai eu une réponse par rapport à le rythme prévisionnel de l’ alternance , je te l’ envoie en pièce jointe avec également une brochure qu’ on m’ a demandé de vous partager . Pour la suite , je te donne déjà le mail de le responsable alternance à l’ Université Polopopo Polopopo , Monsieur Polopopo Polopopo : jppaquet@parisnanterre.fr Je te souhaite un très bon week-end ,",0
0.0526315789473684,0.157894736842105,0.157894736842105,0.0526315789473684,0,0.0526315789473684,0,0.105263157894737,0,joie," Génial , merci beaucoup ! Voici le document signé . Je te dis à demain alors , Cordialement ,",0
0.0833333333333333,0.125,0,0.125,0.0416666666666667,0.0416666666666667,0,0.0833333333333333,0,joie," Polopopo , Génial ! Je l’ ai signé , dis -moi si tout est bon ou si tu as besoin d’ autre chose .",0
0.163636363636364,0.0945454545454545,0.0872727272727273,0.0290909090909091,0.0363636363636364,0,0,0.0218181818181818,0.0290909090909091,tristesse," Bonjour monsieur , Je sais que vous avez des créneaux pour pouvoir répondre à les questions mais malheureusement j' ai cours de 9 h 30 à 16 h 30 de le lundi à le mercredi et je suis en entreprise le jeudi et le vendredi . Je vous lance un peu une bouteille à la mer en attendant votre cours de le mercredi . Pour être rapide , j' ai des problèmes avec mes ventilateurs qui s' activent de manière très bruyante en plein milieu de le cours et j' ai voulu régler ça hier soir mais maintenant Polopopo ne boot plus . Effectivement , j' ai fait une erreur que je referai peut-être plus tard , celle d' entrer une commande sans comprendre à 100 % son effet . Et j' avais aussi modifié un fichier mais via la root de le recovery mod de le grub j' ai pu effacer mes modifications . Voici la commande en question : `sudo systemctl restart display-manager` Voilà , le problème c' est qu' en revenant à zéro , Polopopo ne boot toujours pas . J' ai donc désinstallé tous mes drivers et j' essaye d' en réinstaller un plus ancien , probablement compatible avec Polopopo donc . Je voulais vous exposer ma situation avant votre cours , je m' active demain et après-demain pour essayer de régler le problème de mon côté . Si je n' arrive à rien et que vous n' avez pas de solution à m' apporter , je referai une installation Polopopo . En tout cas je vous remercie d' avance , Je vous souhaite une très bonne journée , Cordialement ,",0
0.100719424460432,0.118705035971223,0.0755395683453237,0.0323741007194245,0.0287769784172662,0,0,0.0323741007194245,0.0143884892086331,tristesse," Bonjour , En l' état actuel de la situation , j' ai uniquement Polopopo d' installé sur ma machine , donc le grub ne se lance pas . Je sais que Polopopo se lance car j' ai le logo Polopopo qui s' affiche avant de rester bloqué indéfiniment sur un écran noir . J' ai réussi à forcer l' ouverture de le grub avant que Polopopo ne se lance en appuyant sur shift et après "" options avancées pour Polopopo "" > "" Recovery mod "" > "" root "" j' ai accès à le terminal depuis la racine . J' ai ensuite pu enlever les modifications que j' avais effectué sur des fichiers et qui étaient probablement la cause de tout ça , mais en redémarrant mon pc ça faisait encore un black screen . J' en ai conclu que c' était Polopopo qui posait problème et j' ai essayé de supprimer les drivers . J' ai fait les commandes "" nvidia-smi "" pour savoir si j' avais des drivers installés et "" sudo apt-get remove --purge ' ^nvidia -. *' "" pour être sûre de n' en oublier aucun . Maintenant , en faisant la commande "" nvidia-smi "" il est indiqué que je n' ai plus de drivers installés mais je ne sais pas si c' est réellement actif . Voilà où j' en suis pour aujourd'hui , je vais essayer d' installer un nouveau driver nvidia qui sera peut-être plus compatible pour gérer mes ventilateurs . Je ne sais pas si vous avez une idée de ce qui aurait pu causer tous ces dégâts , Je vous remercie pour votre aide , Cordialement ,",0
